title1,title2,address1,address2,semantic_similarity
Rittenhouse Square,Drury Lane ,,1308 Drury ,0.41383767
V.I.P. Club,Rendezvous II,,1308 Drury Lane ,0.41186517
Rendezvous II,V.I.P Club,1308 Drury Lane ,,0.41186517
Parker Hotel Bar,R.D. Club,13th & Spruce,13th & Locust,0.41004577
R.D. Club,Parker Hotel Bar,13th & Locust,13th & Spruce,0.41004577
Forrest Bar ,Westbury Hotel Bar ,206 S. Quince ,271 S. 15th St. ,0.40837115
Westbury Hotel Bar ,Forrest Bar ,217 S. 15th St. ,206 S. Quince ,0.40837115
Forrest Bar ,Westbury Hotel Bar ,206 S. Quince ,271 S. 15th St. ,0.40837115
Forrest Bar ,Westbury Hotel Bar ,206 S. Quince ,271 S. 15th St. ,0.40837115
Forrest Bar ,Westbury Hotel Bar ,206 S. Quince ,271 S. 15th St. ,0.40837115
Forrest Bar ,Westbury Hotel Bar ,206 S. Quince ,271 S. 15th St. ,0.40837115
Forrest Bar ,Westbury Hotel Bar ,206 S. Quince ,217 S. 15th St. ,0.40837112
Forrest Bar ,Westbury Hotel Bar ,206 S. Quince ,271 S. 15th St. ,0.40837112
Westbury Hotel Bar ,Forrest Bar ,217 S. 15th St. ,206 S. Quince ,0.40837112
Westbury Hotel Bar ,Forrest Bar ,217 S. 15th St. ,206 S. Quince ,0.40837112
Westbury Hotel Bar ,Forrest Bar ,271 S. 15th St. ,206 S. Quince ,0.40837112
Westbury Hotel Bar ,Forrest Bar ,271 S. 15th St. ,206 S. Quince ,0.40837112
Midway,Rendezvous II,256 S. 12th St. ,1308 Drury Lane ,0.40836915
Rendezvous II,Midway ,1308 Drury Lane ,256 S. 12th St. ,0.40836915
Rendezvous II,Midway ,1308 Drury Lane ,256 S. 12th St. ,0.40836915
Midway ,Rendezvous II,256 S. 12th St. ,1308 Drury Lane ,0.408369
Drury Lane ,Westbury Hotel ,1304 Drury Lane ,271 S 15th St. ,0.40809837
Drury Lane ,Westbury Hotel ,1304 Drury Lane ,271 S 15th St. ,0.40809837
Drury Lane,Westbury Hotel ,1308 Drury Lane,271 S 15th St. ,0.40809837
Drury Lane ,Westbury Hotel ,1308 Drury ,271 S 15th St. ,0.40809837
Drury Lane ,R.D. Club,1304 Drury Lane ,13th & Locust,0.40728718
R.D. Club,Drury Lane ,13th & Locust,1304 Drury Lane ,0.40728703
R.D. Club,Drury Lane,13th & Locust,1308 Drury Lane,0.40728703
R.D. Club,Drury Lane ,13th & Locust,1308 Drury ,0.40728703
Baron's Variety Lounge ,Westbury Hotel ,1116 Walnut ,271 S 15th St. ,0.40459636
Ritz Bar,Terminal Bar,13th near Market,Broad & Olney,0.40251285
Ritz Bar,Terminal Bar,13th near Market,Broad & Olney,0.40251282
Ritz Bar,Terminal Bar,13th near Market,Broad & Olney,0.40251282
Ritz Bar,Terminal bar,13th near Market,Broad & Olner,0.40251282
Ritz Bar,Terminal Bar,13th near Market,Broad & Olney,0.40251282
Ritz Bar,Terminal bar,13th near Market,Broad & Olner,0.40251282
V.I.P. Club,Varsity Room,,Quince & Walnut,0.40178996
V.I.P Club,Varsity Room,,Quince & Walnut,0.40178996
Foster House ,Varsity Room,207 S. Quince ,Quince & Walnut,0.40150023
Club Thirteen ,Track Seven,214 S. 13th St. ,1226 Filbert ,0.39944625
Club Thirteen ,Track Seven ,214 S. 13th St. ,1226 Filbert ,0.39944625
Club Thirteen ,Track Seven ,214 S. 13th St. ,1226 Filbert ,0.39944625
Club Thirteen ,Track Seven ,214 S. 13th St. ,1226 Filbert ,0.39944625
Club Thirteen ,Track Seven ,214 S. 13th St. ,1226 Filbert ,0.39944625
Club Thirteen ,Track Seven ,214 S. 13th St. ,1226 Filbert ,0.39944625
Club Thirteen ,Track Seven ,214 S. 13th St. ,1226 Filbert ,0.39944607
Club Thirteen ,Track Seven ,214 S. 13th St. ,1226 Filbert ,0.39944607
Club Thirteen ,Track Seven ,214 S. 13th St. ,1226 Filbert ,0.39944607
Track Seven,Club Thirteen ,1226 Filbert ,214 S. 13th St. ,0.39944607
Track Seven,Club Thirteen ,1226 Filbert ,214 S. 13th St. ,0.39944607
Track Seven,Club Thirteen ,1226 Filbert ,214 S. 13th St. ,0.39944607
